VILLEID;DESIGNATION;DEPARTEMENTID;CODE
173;COM. MEDINA YORO FOULAH;38;101
174;COM. PATA;38;102
175;FAFACOUROU;38;201
176;AR.NDORNA;38;202
177;NIAMING;38;203
178;COM .MATAM;44;101
179;COM. OUROSSOGUI;44;102
180;COM. THILOGNE;44;103
181;COM. NGUIDILOGNE;44;104
182;AGNAM-CIVOL;44;201
183;OGO;44;202
184;COM. KANEL;43;101
185;COM. SEMME;43;102
186;COM. WAOUNDE;43;103
187;COM. DEMBANCANE;43;104
188;COM. HAMADY OUNARE;43;105
189;COM. SINTHIOU BAMANBE-BANADJI;43;106
190;COM. ODOBERE;43;107
191;ORKADIERE;43;201
192;OURO SIDY;43;202
193;COM. RANEROU;45;101
194;VELINGARA;45;201
195;COM. KAFFRINE;28;101
196;COM. N'GANDA;28;102
197;GNIBY;28;201
198;KATAKEL;28;202
199;COM .BIRKELANE;27;101
200;KEUR M'BOUKI;27;201
201;MABO;27;202
202;COM. KOUNGHEUL;29;101
203;IDA MOURIDE;29;201
204;LOUR ESCALE;29;202
205;MISSIRAH WADENE;29;203
206;COM. MALEM HODDAR;30;101
207;DAROU MINAM II;30;201
208;SAGNA;30;202
209;COM .KEDOUGOU;34;101
210;BANDAFASSI;34;201
211;FONGOLEMBI;34;202
212;COM. SALEMATA;35;101
213;DAKATELI;35;201
214;DAR  SALAM;35;202
215;COM. SARAYA;36;101
216;BEMBOU;36;201
217;SABODOLA;36;202
218;COM. SEDHIOU;51;101
219;COM. MARSASSOUM;51;102
220;COM. DIANAH MALARY;51;103
221;DIENDE;51;201
222;DJIBABOUYA;51;202
223;DJIREDJI;51;203
224;COM. BOUNKILING;49;101
225;COM. MADINA WANDIFA;49;102
226;COM. NDIAMACOUTA;49;103
227;BOGHAL;49;201
228;BONA;49;202
229;DIAROUME;49;203
230;COM. GOUDOMP;50;101
231;COM. DIATTACOUNDA;50;102
232;COM. SAMINE;50;103
233;COM. TANAFF;50;104
234;DJIBANAR;50;201
235;KARANTABA;50;202
236;SIMBANDI BRASSOU;50;203
