COMMUNEID;VILLEID;DESIGNATION;CODE
139;47;COM. DEMETTE;0
140;48;COM. GALOYA TOUCOULEUR;0
141;49;COM. GUEDE CHANTIER;0
142;50;COM. MBOUMBA;0
143;51;COM. AERE LAO;0
144;52;COM. PETE;0
145;53;COM. WALALDE;0
146;54;MEDINA NDIATHBE;1
147;54;DOUNGA-LAO;2
148;54;MERY;3
149;55;BOKE DIALLOUBE;1
150;55;MBOLO BIRANE;2
151;56;FANAYE;1
152;56;NDIAYENE PENDAO;2
153;57;DODEL;1
154;57;GAMADJI SARE;2
155;57;GUEDE VILLAGE;3
156;58;COM. SAINT LOUIS;0
157;59;COM. M?PAL;0
158;60;GANDON;1
159;60;FASS NGOM;2
160;60;N?DIEBENE GANDIOLE;3
161;60;NDIEBENE GANDIOLE;3
162;61;COM. BAKEL;0
163;62;COM. DIAWARA;0
164;63;COM .KIDIRA;0
165;64;GATHIARY;1
166;64;MADINA FOULBE;2
167;64;SADATOU;3
168;64;TOUMBOURA;4
169;65;BELE;1
170;65;SINTHIOU-FISSA;2
171;66;BALLOU;1
172;66;GABOU;2
173;66;MOUDERY;3
174;67;COM. TAMBACOUNDA;0
175;68;KOUSSANAR;1
176;68;SINTHIOU MALEM;2
177;69;MAKACOULIBATANG;1
178;69;N?DOGA BABACAR;2
179;69;NIANI TOUCOULEUR;3
180;70;DIALACOTO;1
181;70;MISSIRAH;2
182;70;NETTE BOULOU;3
183;71;COM. GOUDIRY;0
184;72;COM. KOTHIARY;0
185;73;BALA;1
186;73;GOUMBAYEL;2
187;73;KOAR;3
188;74;DOUGUE;1
189;74;BOYNGUEL BAMBA;2
190;74;KOUSSAN;3
191;74;SINTHIOU MAMADOU BOUBOU;4
192;75;BANI   ISRAEL;1
193;75;BOUTOUCOUFARA;2
194;75;DIANKE MAKHA;3
195;75;KOMOTI;4
196;76;KOULOR;1
197;76;SINTHIOU BOCAR ALI;2
198;77;COM. KOUMPENTOUM;0
199;78;COM. MALEM NIANI;0
200;79;BAMBA  THIALENE;1
201;79;KAHENE;2
202;79;MERETO;3
203;79;N?DAME;4
204;80;KOUTHIA GAYDI;1
205;80;KOUTHIABA WOLOF;2
206;80;PASS KOTO;3
207;80;PAYAR;4
208;81;COM. KAOLACK;0
209;82;COM. KAHONE;0
210;83;COM. GANDIAYE;0
211;84;COM. NDOFFANE;0
212;85;COM. SIBASSOR;0
213;86;KEUR SOCE;1
214;86;NDIAFFATE;2
