code_pays;code_localite ;localite
221;39;MANDEGANE
221;40;TENGHORI C P
221;41;COUBALAN
221;42;NIAMONE
221;43;OUONCK
221;44;NDIEBA
221;45;TENDIMANE ENOGA
221;46;TENDIEME
221;47;MANGOULE
221;48;PETIT COULAYE
221;49;SOUTOU
221;50;SOUDA
221;51;TABI
221;52;VELINGARA
221;53;KOUNKANE C P
221;54;KANDIA
221;55;SARE COLY SALLE
221;56;NEMATABA
221;57;DOUBIROU
221;58;TEYEL ABDOULAYE
221;59;PAKOUR C P
221;60;BONCONTO C P
221;61;LINKERING
221;62;MEDINA GOUNASS
221;63;SINTHIANG KOUNDARA
221;64;MBALLOCOUNDA PAKANE
221;65;KOURBAMBEY
221;66;OUASSADOU KANTORA
221;67;PAYOUNGOU
221;68;OUASSADOU
221;69;PAROUMBA
221;70;ZIGUINCHOR
221;71;NYASSIA C P
221;72;ENAMPOR
221;73;BRIN DIEGUELE
221;74;SELEKY BAHIMBANE
221;75;TOUBACOUTA
221;76;BAFICAN
221;77;KAGUITE
221;78;BADIATE GRAND
221;79;DARSALAM
221;80;NIAGUIS C P
221;81;ADEANE
221;82;BOUTOUPA CAMARACOUNDA
